SHADERS,144,4392,8928,9288,9432,11592,11808,12168,12672,14256,14544,14760,15696,16200,17064,17208,17424,17496,17784,19152,19728,20160,20376,20448,21672,24336,29088
LIGHTMAPS,0,3932160,4718592,5505024,6291456,7077888,7864320,8650752,9437184,11796480,12582912,13369344,14942208,15728640,16515072
PLANES,128,93776,116640,139888,144576,149168,153744,176640,178624,187760,193568,198640,201808,222800,254736,265200,286624,334480,343360,387088,480672,485792,527152,538336,567744,704544,735168,798672
BRUSH_SIDES,576,162336,228320,263240,263312,270176,291432,291704,297168,331808,345152,359432,382144,412448,413184,419656,446240,469184,516312,542464,571256,600072,602888,624096,776904,779432,812504,971896
BRUSHES,48,7516,8232,9920,10220,12432,13320,13360,15564,16436,16852,18756,19144,21524,22288,25364,26788,28020,31212,32032,33040,33076,33900,35244,35248,42272,47156
TRIANGLE_SOUPS,unused
DRAW_VERTICES,16,6192,9488,12992,14320,15008,16496,16896,18464,19808,21104,24192,24448,24928,29488,29696,33744,37616,38784,40048,44000,44096,44160,44464,47440,54240,56528,74240
DRAW_INDICES,1056,993124,1329900,1530188,1615196,1749044,2208184,2214784,2242240,2616196,2948484,3033844,3637260,3999336,4173972,4273016,4513168,4585768,4589024,4780996,4985904,5168944,5520856,5789784,5801004,5803908,5840824,7866760
CULL_GROUPS,72,111666,147426,154386,170940,173076,200700,206670,253602,314250,316452,319926,353202,365934,387186,400674,408396,410304,434628,446730,484188,494832,511158,538074,562230,573072,584886,830196
CULL_GROUP_INDICES,0,160,224,352,384,416,640,864,1024,1632,1696,1888,3008,4576,4704,4928,4992,5536,5568,5952,6048,6240,6752,8608,12288
PORTAL_VERTS,0,44,48,108,116,172,200,236,240,264,400,580,584,632,636,692,812,816,844,848,1076,2316
OCCLUDERS,0,960,1056,1632,1728,2592,2904,3456,3864,4392,4512,4752,4800,4944,5184,5376,6480,7872,7968,8208,10704,12960,13272,17760,19104
OCCLUDER_PLANES,0,20,60,100,140,240,260,380,620
OCCLUDER_EDGES,0,24,72,120,168,288,312,456,744
OCCLUDER_INDICES,0,48,144,240,336,576,624,912,1488
AABB_TREES,0,2,4,6,10,12,16,26,28,30,54,62
CELLS,12,708,876,996,1044,1260,1416,1608,1980,1992,2052,2412,2628,2736,2904,3288,3336,3576,3672,4116,4128,4224,4560,4860,5052,5808,6000
PORTALS,52,156,208,468,520,624,676,936,988,1092,1300,1352,1404,1560,1612,1664,1820,2080,2132,2392,2496,3432,3692
LIGHT_INDICES,0,160,320,352,672,736,864,928,1152,1216,1440,1504,1600,1664,1760,2144,2496,2624,2720,3552,4320,5952,6336
NODES,0,4,10,134,150,314,320,374,416,434,482,490,664,726,728,794,870,1112,2088,2140,2550,3378,4788,5828,6088,9036
LEAVES,684,13140,17856,25020,32112,37764,45900,49176,50688,52668,60444,70452,71100,71640,72396,75492,75924,79524,79812,90504,93888,100728,119412,120528,124668,150732,156816
LEAF_BRUSHES,756,14004,19980,26208,34272,39672,50400,53424,55188,55368,75348,75888,76716,76788,77508,77832,81180,84744,86796,95184,100512,116172,123300,123552,126000,127728,159444,168696
LEAF_SURFACES,256,13976,14544,17544,19028,21624,22200,25948,32508,33156,36360,37880,39532,41784,44596,46980,47752,47860,55516,56696,58320,63476,64640,70684,72796,92596,92816,97452
PATCH_COLLISION,0,2100,3596,4112,4532,4708,4744,5292,7052,8576,8736,8924,9844,11376,12252,12592,13116,15456,16580,19056,19940,20312,22812,22980,23040,25184,25988,26020
COLLISION_VERTICES,0,4352,5360,6656,7424,8496,9040,9120,12416,13152,14912,16160,18960,20224,23808,25984,26000,26288,26592,27280,27664,28848,33840,35008,35408,41072,45456,47696
COLLISION_INDICES,0,53820,68112,68532,86460,91656,126756,141024,141732,156324,159000,165552,175224,188088,190032,203316,204924,222972,243840,244596,285528,294348,318804,363156,367632,388560,395496,627648
MODELS,0,48,8994,14592,16218,16980,24666,25080,30738,30954,32898,41508,43512,46032,54930,59682,62112,63234,63282,68634,73998,75510,75894,93726,118740,126888,178110,291354
VISIBILITY,48,1104,1536,2496,2784,2832,3072,3312,3648,4032,5472,5616,5808,5952,6192,6720,6912,6960,7200,7248,8496,8784,9264,11568,15792,19824,20544
LIGHTS,0,40,7880,23472,25096,39032,48088,61608,80192,94760,99352,125704,130952,144984,158120,201608,247816,307408,319808,490056,517640,540944,803848,1524168,1645256
ENTITIES,88,101451,123335,157390,165523,174272,176687,201394,203026,214067,243089,253424,259568,272053,295049,306196,330463,331491,344982,350018,371132,428740,524818,534688,589383,641854,664720,790672
UNKNOWN_31,0,72,144,288,648,1008,1152,1224,1296,1368,1584,2016,2304,2448,3456,5832,6120,6912,9360,9792,9936,13176,14904
,
,
SHADERS,8
LIGHTMAPS,8,12,16,24,32,48,64,96,128,192,256,384,512,768,1024,1536,2048,3072,4096,6144,8192,12288,16384,24576,32768,49152,65536,98304
PLANES,8,16
BRUSH_SIDES,8
BRUSHES,
DRAW_VERTICES,
DRAW_INDICES,44
CULL_GROUPS,
CULL_GROUP_INDICES,
PORTAL_VERTS,unknown
OCCLUDERS,
OCCLUDER_PLANES,unknown
OCCLUDER_EDGES,
OCCLUDER_INDICES,
AABB_TREES,unknown
CELLS,
PORTALS,unknown
LIGHT_INDICES,
NODES,unknown
LEAVES,12
LEAF_BRUSHES,
LEAF_SURFACES,
PATCH_COLLISION,
COLLISION_VERTICES,
COLLISION_INDICES,12
MODELS,
VISIBILITY,
LIGHTS,
ENTITIES,
UNKNOWN_31,8
