SHADERS,9072,9648,10152,11808,12600,13464,13752,13824,13968,14400,15408,16560,19224,21960,22464
LIGHTMAPS,3932160,4718592,5505024,6291456,7077888,8650752,9437184,10223616
PLANES,56640,61104,106688,117312,129584,146112,161536,168928,186432,186992,250272,255520,277616,357536,397952,427232
BRUSH_SIDES,198168,242552,250872,275200,312096,344984,350848,353768,380536,388416,397440,408520,426152,428472,449432,455728
BRUSHES,8016,9452,12776,13864,13944,16248,17196,17668,20952,22236,23756,27096,27364,28560,29060,30436
TRIANGLE_SOUPS,unused
DRAW_VERTICES,7008,8768,18864,19376,20208,21792,21920,22832,23968,24256,29376,36416,36688,39408,42000,46672
DRAW_INDICES,1794760,1841400,1974368,2089824,2547732,2665740,2709916,2710312,3298592,3505744,3564572,3585824,3899632,4033788,4174984,4872560
CULL_GROUPS,189144,222300,230508,231942,250008,273726,280956,284232,291510,310194,334926,343344,367680,385500,414702,467238
CULL_GROUP_INDICES,96,128,160,288,416,512,1280,1376,1408,2336,3296,3904,5152,6016,7232,8608
PORTAL_VERTS,16,20,36,104,224,228,276,364,500,644,772,884,1668
OCCLUDERS,1728,2208,3456,5400,5472,6336,6528,6816,7152,7248,9552,10776,13944,19800,23544,35592
OCCLUDER_PLANES,0,20,180,280,400,540,600,920
OCCLUDER_EDGES,0,24,216,336,480,648,720,1104
OCCLUDER_INDICES,0,48,432,672,960,1296,1440,2208
AABB_TREES,0,4,22,28,40,62,150,250
CELLS,864,1032,1380,1476,1752,2076,2100,2208,2256,2928,3132,4020,4056,4188,4512,4680
PORTALS,312,520,624,884,936,1040,1144,1196,1508,1664,1820,1872,2080,2392,4264
LIGHT_INDICES,192,576,736,1536,1664,1792,1824,1984,2112,2272,2400,3168,4640,5696,7584,11392
NODES,20,70,80,182,400,412,460,532,736,754,1140,1528,1680,2464,4272,5766
LEAVES,14544,47988,56376,56808,63072,66744,70632,71460,71496,78012,80640,83484,108792,138960,140472,173592
LEAF_BRUSHES,15012,48384,57168,64368,67428,71100,71928,72288,78372,81036,84924,109224,139356,141372,173952
LEAF_SURFACES,20624,23660,27032,29476,31256,38384,39912,42856,43620,45208,46112,50452,52384,52516,54556,62712
PATCH_COLISION,1456,2152,2164,2708,3044,5012,5056,5672,6576,7680,8640,8724,9160,9912,14684,14752
COLLISION_VERTICES,3488,3808,4160,5120,5376,8112,8272,9904,10016,13776,13808,14880,17520,17632,20128,20656
COLLISION_INDICES,45516,49560,52056,68544,75492,76776,93036,100632,127620,130188,155364,161472,189204,203004,289956,325992
MODELS,0,192,1536,17400,18330,19728,20226,26976,27522,43458,48918,53982,79704,80418,114438,191250
VISIBILITY,432,480,528,576,864,1008,1056,1152,1680,1872
LIGHTS,0,3392,50488,58616,58880,97336,97784,97896,110048,131080,142128,144032,182560,216560,266256,693536
ENTITIES,34259,41440,45196,52698,67057,70284,72625,72692,90852,114473,121678,131343,139296,164389,229208,317174
UNKNOWN_31,216,432,1008,1296,1512,1584,2664,2736,3096,3816,3888,4104,4176,4752,10512
,
,
SHADERS,8
LIGHTMAPS,8,12,16,24,32,48,64,96,128,192,256,384,512,768,1024,1536,2048,3072,4096,6144,8192,12288,16384,24576,32768,49152,65536,98304
PLANES,8,16
BRUSH_SIDES,8
BRUSHES,
DRAW_VERTICES,8,16
DRAW_INDICES,
CULL_GROUPS,unknown
CULL_GROUP_INDICES,
PORTAL_VERTS,
OCCLUDERS,8
OCCLUDER_PLANES,
OCCLUDER_EDGES,
OCCLUDER_INDICES,
AABB_TREES,
CELLS,
PORTALS,
LIGHT_INDICES,
NODES,
LEAVES,
LEAF_BRUSHES,12
LEAF_SURFACES,
PATCH_COLISION,
COLLISION_VERTICES,
COLLISION_INDICES,12
MODELS,
VISIBILITY,
LIGHTS,8
ENTITIES,
UNKNOWN_31,8
