NUMBER,NAME,ID,BYTE-SIZE
0,ENTITIES,0000,56237
1,PLANES,0001,408784
2,TEXDATA,0002,10872
3,VERTICES,0003,6165156
4,UNKNOWN_4,0004,28
5,UNKNOWN_5,0005,72
6,UNKNOWN_6,0006,278472
7,UNKNOWN_7,0007,1614140
14,MODELS,000e,256
24,ENTITY_PARTITIONS,0018,28
29,PHYS_COLLIDE,001d,16
30,VERTEX_NORMALS,001e,7184160
35,GAME_LUMP,0023,665512
40,PAKFILE,0028,1573678
42,CUBEMAPS,002a,48
43,TEXDATA_STRING_DATA,002b,12203
44,TEXDATA_STRING_TABLE,002c,1208
54,WORLDLIGHTS_HDR,0036,56336
66,PHYSCOLL_TRIS,0042,2605012
68,PHYSCOLL_NODES,0044,6944192
69,PHYSCOLL_HEADERS,0045,254320
71,VERTS_UNLIT,0047,4400
73,VERTS_LIT_BUMP,0049,38151080
74,VERTS_UNLIT_TS,004a,286328
79,MESH_INDICES,004f,4273320
80,MESHES,0050,214984
81,MATERIAL_SORT,0051,245696
82,UNKNOWN_82,0052,6768
83,LIGHTMAP_HEADERS,0053,48
85,CM_GRID,0055,28
86,CM_GRIDCELLS,0056,7424
87,CM_GEO_SETS,0057,54384
88,CM_GEO_SET_BOUNDS,0058,108768
89,CM_PRIMS,0059,58192
90,CM_PRIM_BOUNDS,005a,232768
91,CM_UNIQUE_CONTENTS,005b,140
92,CM_BRUSHES,005c,58176
93,CM_BRUSH_SIDE_PLANE_OFFSETS,005d,56894
94,CM_BRUSH_SIDE_PROPS,005e,78710
95,CM_BRUSH_TEX_VECS,005f,1259360
96,TRICOLL_BEVEL_STARTS,0060,1302506
97,TRICOLL_BEVEL_INDICES,0061,1827392
98,LIGHTMAP_DATA_SKY,0062,42467328
99,CSM_AABB_NODES,0063,114560
100,CSM_OBJ_REFS,0064,7462
101,LIGHTPROBES,0065,1963008
102,STATIC_PROP_LIGHTPROBE_INDEX,0066,36352
103,LIGHT_PROBE_TREE,0067,424728
104,LIGHT_PROBE_REFS,0068,2038840
105,LIGHTMAP_DATA_REAL_TIME_LIGHTS,0069,42467328
106,CELL_BSP_NODES,006a,1192
107,CELLS,006b,480
108,PORTALS,006c,7620
109,PORTAL_VERTS,006d,7428
110,PORTAL_EDGES,006e,1696
111,PORTAL_VERT_EDGES,006f,9904
112,PORTAL_VERT_REFS,0070,2760
113,PORTAL_EDGE_REFS,0071,2760
114,PORTAL_EDGE_ISECT_EDGE,0072,2760
115,PORTAL_EDGE_ISECT_AT_VERT,0073,7712
116,PORTAL_EDGE_ISECT_HEADER,0074,7712
117,OCCLUSION_MESH_VERTICES,0075,6372
118,OCCLUSION_MESH_INDICES,0076,6936
119,CELL_AABB_NODES,0077,498496
120,OBJ_REFS,0078,39578
121,OBJ_REF_BOUNDS,0079,633248
122,UNKNOWN_122,007a,2394
123,LEVEL_INFO,007b,28
124,SHADOW_MESH_OPAQUE_VERTS,007c,1163784
125,SHADOW_MESH_ALPHA_VERTS,007d,24740
126,SHADOW_MESH_INDICES,007e,773376
127,SHADOW_MESH_MESHES,007f,276
